able,সক্ষম
accept,গ্রহণ করা
acceptance,গ্রহণযোগ্যতা
acceptable,গ্রহণযোগ্য
accepted,গৃহীত
accepting,গ্রহণ
action,কর্ম
activate,সক্রিয় করা
active,সক্রিয়
add,যোগ
addition,সংযোজন
adorable,আরাধ্য
advantage,সুবিধা
affirm,নিশ্চিত করা
ageless,শাশ্বত
agree,একমত
agreeable,অমায়িক
aid,সাহায্য
aim,লক্ষ্য
abundance,প্রাচুর্য
accountability,দায়িত্ব
accomplishment,সংসাধন
accomplish,সাধা
accuracy,সঠিকতা
achievement,কৃতিত্ব
achieve,অর্জন করা
acknowledgement,স্বীকৃতি
adaptability,উপযোগীকরণ
adventure,দু: সাহসিক কাজ
adventurous,দু: সাহসিক
agility,তত্পরতা
alertness,সতর্কতা
ambition,উচ্চাকাঙ্ক্ষা
anticipation,অগ্রজ্ঞান
appreciate,তারিফ করা
appreciation,রসাস্বাদন
appreciative,রসিক
appreciativeness,appreciativeness
assertiveness,দৃঢ়তাসূচনা
assertive,জিদপূর্ণ
attentiveness,মনোযোগ
audacity,স্পর্ধা
aware,সচেতন
awareness,সচেতনতা
authentic,খাঁটি
authenticity,সত্যতা
abracadabra,অবোধ্য বুলি
attraction,আকর্ষণ
allow,অনুমতি
allowing,অনুমতি
affection,স্নেহ
affectionate,অনুরক্ত
absorbed,শোষিত
alert,সতর্ক
amazed,বিস্মিত
awe,সম্ভ্রম
awed,তত বেশি সশ্রদ্ধ ভয়
animate,সজীব
animated,প্রাণবন্ত
animating,চেতক
animation,অ্যানিমেশন
animateness,animateness
ardent,জ্বলন্ত
amazing,আশ্চর্যজনক
awesome,অসাধারণ
awesomeness,বিস্ময়ে
aroused,aroused
astonished,বিস্মিত
astonishing,বিস্ময়কর
amused,আমোদিত
air,বায়ু
airness,Airness
aloha,Aloha
adore,পূজা করা
admire,তারিফ করা
admirable,ধন্য
allure,মোহন
angel,ফেরেশতা
angelic,দেবদূতোপম
altruism,পরার্থপরতা
altruistic,কল্যাণময়
abound,উড়া
abounding,উচ্ছ্বাসিত
abounds,প্রচুর
abundant,প্রচুর
absolute,পরম
absolutely,একেবারে
accessible,প্রবেশযোগ্য
acclaimed,প্রশংসিত
accommodate,মিটমাট করা
accommodated,স্থান
accommodation,বাসস্থান
accommodating,অমায়িক
ample,প্রশস্ত
appreciative,রসিক
joy,আনন্দ
amin,আমিন
accentuactivity,accentuactivity
actability,actability
affable,ভদ্র
alacrity,ব্যগ্রতা
altrucause,altrucause
amiable,বন্ধুসুলভ
astounding,স্তম্ভিত করে এমন
attractive,আকর্ষণীয়
alive,জীবিত
aliveness,প্রণোচ্ছলতা
acclaim,জয়ধ্বনি
abundant,প্রচুর
gratification,পরিতৃপ্তি
acclamation,প্রশংসা
accomplished,সম্পন্ন
accomplishments,শিক্ষাদীক্ষা
accurate,সঠিক
accurately,সঠিক
achievable,সাধনযোগ্য
achievements,সাফল্য
action,কর্ম
for,জন্য
happiness,সুখ
active,সক্রিয়
and,এবং
constructive,গঠনমূলক
steps,ধাপ
acts,কাজ
of,এর
kindness,উদারতা
adaptable,অভিযোজ্য
adaptive,অভিযোজিত
adequate,পর্যাপ্ত
admirably,প্রশংসনীয়রূপে
admiration,প্রশংসা
admired,প্রশংসিত
adored,ঋত
adoring,সপ্রেম
adoringly,adoringly
advanced,অগ্রসর
advantageous,সুবিধাজনক
advantageously,advantageously
advantages,সুবিধাদি
affability,শিষ্টতা
affably,অমায়িকভাবে
affinity,সম্বন্ধ
affirmation,কথন
affirmative,হাঁ-সূচক
affluence,সমৃদ্ধি
affluent,ধনী
afford,সামর্থ্য
affordable,সাশ্রয়ী মূল্যের
affordably,সামর্থ্য অনুযায়ী
agile,কর্মতত্পর
agilely,agilely
agreeableness,agreeableness
agreeably,প্রীতিকরভাবে
aligned,সারিবদ্ধ
all,সব
is,হয়
well,ভাল
alluring,লোভনীয়
alluringly,alluringly
alternative,বিকল্প
healing,আরোগ্য
altruistically,altruistically
amaze,স্তম্ভিত করা
amazement,আশ্চর্য
amazes,amazes
amazingly,বিস্ময়করভাবে
amiability,সহৃদয়তা
amicability,অদ্রোহ
amicable,বন্ধুত্বপূর্ণ
amicably,আপসে
amusing,মজাদার
appeal,আবেদন
appealing,মর্মস্পর্শী
applaud,তারিফ করা
appreciable,উপলব্ধিজনক
appreciated,উপলব্ধ
appreciates,appreciates
appreciation,রসাস্বাদন
of,এর
beauty,সৌন্দর্য
appreciatively,কৃতজ্ঞতার সঙ্গে
appropriate,যথাযথ
approval,অনুমোদন
approve,অনুমোদন করা
ardor,ব্যগ্রতা
art,শিল্প
of,এর
appreciation,রসাস্বাদন
art,শিল্প
of,এর
stillness,নীরবতা
art,শিল্প
of,এর
wellbeing,সুস্থতা
assurance,আশ্বাসন
a,একটি
reason,কারণ
for,জন্য
being,হচ্ছে
acaronar,acaronar
accommodative,accommodative
altitudinarian,altitudinarian
amazing,আশ্চর্যজনক
words,শব্দ
amiably,অমায়িকভাবে
accolade,প্রশংসা
acumen,সূক্ষ্ম বিচারশক্তি
adjustable,নিয়মিত
admirer,উপাসক
admiring,উপাসক
admiringly,admiringly
adorer,প্রণয়াকাঙ্ক্ষী
adroit,নিপুণ
adroitly,নিপুণভাবে
adulated,adulated
adulation,তোষণ
adulatory,সংপ্রশংসনীয়
adventuresome,দু: সাহসিক
advocated,শিল্পমন্ত্রী
ambitious,উচ্চাকাঙ্ক্ষী
ambitiously,উচ্চাকাঙ্ক্ষীভাবে
ameliorate,উন্নয়নসাধন করা
amenity,শিষ্টতা
amity,বন্ধুত্ব
amply,কানায় কানায়
amuse,আমোদিত করা
amusingly,amusingly
apotheosis,নাটকের শেষ
assume,অনুমান
your,তোমার
own,নিজের
value,মান
astonishingly,কাজে অবিশ্বাস্য
astonishment,আশ্চর্য
attributional,attributional
style,শৈলী
questionnaire,প্রশ্নাবলী
asq,asq
authentic,খাঁটি
happiness,সুখ
awaken,জাগ্রত করা
awakening,জাগরণ
beatify,সুখী করা
beatitude,স্বর্গসুখ
beneficial,উপকারী
benefit,সুবিধা
benevolent,হিতৈষী
beloved,দয়িত
best,সেরা
better,উত্তম
bless,আশীর্বাদ করা
blessing,বর
blessed,সুখী
bliss,সুখ
blissfulness,blissfulness
blissful,সুখী
bloom,পুষ্প
blossom,পুষ্প
balance,ভারসাম্য
balanced,সুষম
beauty,সৌন্দর্য
beautiful,সুন্দর
beautifully,সুন্দর
belong,অন্তর্গত
belonging,একাত্মতার
boldness,নির্লজ্জতা
bravery,সাহস
brilliance,প্রতিভা
brilliant,উজ্জ্বল
bliss,সুখ
on,উপর
tap,টোকা
beyond,তার পরেও
fabulous,কল্পিত
biophilia,biophilia
bright,উজ্জ্বল
brightness,উজ্জ্বলতা
balistic,balistic
blasting,লোকসান
blazing,গন্গনে
blinding,দৃষ্টি আচ্ছন্নকারী
breathtaking,উত্তেজনাপূর্ণ
bubbling,সাড়া জাগানো
busting,কীট ধ্বংস দিবসে
blisscipline,blisscipline
buyancy,buyancy
bullishness,bullishness
briskness,অবিলম্ব
buoyancy,প্লবতা
breeziness,breeziness
brio,হাসিখুশি ভাব
be,থাকা
extraordinary,অসাধারণ
be,থাকা
happy,খুশি
beautify,মণ্ডিত করা
being,হচ্ছে
at,এ
rest,বিশ্রাম
benefactor,হিতকারী
benefits,সুবিধা
benevolence,দয়াশীলতা
benevolently,রিযিক
benevolently,রিযিক
cheerful,আনন্দিত
state,অবস্থা
of,এর
mind,মন
best,সেরা
of,এর
all,সব
possible,সম্ভব
worlds,বোথ ওয়ার্ল্ডস
beyond,তার পরেও
beauty,সৌন্দর্য
in,মধ্যে
all,সব
things,কিছু
beingness,beingness
believable,বিশ্বাসযোগ্য
